RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
1113274,2016449843,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,12/15/16,12/15/16,,17XX BLOCK OF 18 AV S,R,R1,9400.5019,-122.3094482,47.58704758,"(47.587047577, -122.309448242)"
1113277,20177145,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/6/17,1/6/17,,32XX BLOCK OF 28 AV W,Q,Q1,5700.201,-122.3928986,47.64955139,"(47.649551392, -122.39289856)"
1113282,2016465556,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,12/29/16,12/29/16,12/29/16,9XX BLOCK OF NE 43 ST,U,U2,5200.5008,-122.3182678,47.65945816,"(47.65945816, -122.318267822)"
1113285,2016451478,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/16/16,12/16/16,,27XX BLOCK OF 1 AV S,O,O1,9300.3031,-122.334198,47.57876968,"(47.578769684, -122.334197998)"
1113286,2016442330,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,12/9/16,12/9/16,,127XX BLOCK OF 30 AV NE,L,L1,200.2012,-122.2963486,47.72199631,"(47.721996307, -122.296348572)"
1113287,2014422571,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,12/22/14,12/22/14,12/22/14,7XX BLOCK OF OLIVE WY,M,M2,8200.1001,-122.3346176,47.61382675,"(47.613826752, -122.334617615)"
1113288,2014418503,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,12/18/14,12/18/14,,32XX BLOCK OF SW AVALON WY,W,W2,9900.3002,-122.3741989,47.56407547,"(47.56407547, -122.374198914)"
1113292,2016334875,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,9/15/16,9/15/16,,47XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.2001,-122.3130875,47.66399765,"(47.66399765, -122.313087463)"
1113293,2016337235,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,9/17/16,9/17/16,9/17/16,47XX BLOCK OF 16 AV NE,U,U2,5301.1004,-122.3108139,47.66397858,"(47.663978577, -122.310813904)"
1113295,2016338590,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/18/16,9/18/16,,E OLIVE WY / BELLEVUE AV,E,E1,7402.301,-122.3268204,47.61707306,"(47.617073059, -122.326820374)"
1113296,2016291177,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,8/12/16,8/7/16,,12XX BLOCK OF MADISON ST,E,E3,8400.2013,-122.3234711,47.61003494,"(47.610034943, -122.323471069)"
1113297,2016312656,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/29/16,8/28/16,8/28/16,41XX BLOCK OF BROOKLYN AV NE,U,U2,5301.4002,-122.3143845,47.65758896,"(47.657588959, -122.31438446)"
1113301,2016329855,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,9/11/16,8/11/16,9/10/16,1XX BLOCK OF NW 50 ST,B,B2,4800.1021,-122.3579865,47.66504669,"(47.665046692, -122.35798645)"
1113303,2016328559,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,9/10/16,9/4/16,,9XX BLOCK OF E PIKE ST,E,E2,7500.4015,-122.3201141,47.61407852,"(47.614078522, -122.320114136)"
1113304,2016334552,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,9/15/16,9/15/16,,14XX BLOCK OF 2 AV,M,M1,8100.3003,-122.3384476,47.60878754,"(47.608787537, -122.338447571)"
1113307,2016415135,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,11/16/16,11/16/16,11/16/16,53XX BLOCK OF LEARY AV NW,B,B1,4700.4026,-122.3822403,47.66677094,"(47.666770935, -122.382240295)"
1113312,201710601,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/9/17,1/9/17,,39XX BLOCK OF 39 AV SW,W,W2,9800.3012,-122.381485,47.56882095,"(47.568820953, -122.381484985)"
1113322,201711284,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/10/17,1/10/17,,86XX BLOCK OF 38 AV S,S,S1,11700.3016,-122.2848129,47.52519226,"(47.525192261, -122.284812927)"
1113323,201712056,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,1/10/17,1/5/17,1/10/17,47XX BLOCK OF 36 AV SW,W,W2,10500.1013,-122.3774796,47.56016922,"(47.56016922, -122.377479553)"
1113334,201710877,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/9/17,11/26/16,11/27/16,39XX BLOCK OF 2 AV NE,B,B3,5200.3021,-122.326828,47.65501022,"(47.655010223, -122.326828003)"
1113336,201711673,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/10/17,1/9/17,1/10/17,12XX BLOCK OF NE 130 ST,L,L1,200.5003,-122.3140259,47.72304153,"(47.723041534, -122.314025879)"
1113341,2016442955,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/10/16,12/8/16,,8XX BLOCK OF N 34 ST,B,B2,4900.2031,-122.3485794,47.64941406,"(47.649414063, -122.348579407)"
1113345,201714226,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/12/17,1/12/17,,11XX BLOCK OF EASTLAKE AV E,D,D3,6600.1041,-122.3286133,47.62965393,"(47.629653931, -122.328613281)"
1113349,20179652,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/8/17,1/8/17,1/8/17,42XX BLOCK OF EVANSTON AV N,B,B2,4900.4009,-122.3510208,47.65834045,"(47.658340454, -122.351020813)"
1113351,201710998,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/9/17,1/9/17,,127XX BLOCK OF 12 AV NE,L,L1,200.5,-122.3153915,47.7221489,"(47.722148895, -122.315391541)"
1113352,201711888,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/10/17,12/1/16,1/10/17,3XX BLOCK OF MAYNARD AV S,K,K3,9200.1011,-122.3250504,47.59960938,"(47.599609375, -122.325050354)"
1113353,201711938,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/10/17,1/10/17,,12XX BLOCK OF E JOHN ST,E,E1,7500.5007,-122.3162766,47.61994171,"(47.619941711, -122.31627655)"
1113356,201710247,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,1/9/17,1/7/17,1/9/17,3XX BLOCK OF 3 AV W,Q,Q3,7100.1014,-122.3606491,47.62154007,"(47.62154007, -122.360649109)"
1113363,201714781,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/12/17,1/12/17,,52XX BLOCK OF 45 AV SW,W,W2,10500.3001,-122.3897324,47.55529404,"(47.555294037, -122.389732361)"
